height,img_name,object_type,width,xmax,xmin,ymax,ymin,Gun,Knife,Pliers,Scissors,Wrench,area
389,P00022.jpg,Knife,696,669.4689999999998,319.258,322.7390000000001,227.63,0,1,0,0,0,33308.217999000015
389,P00022.jpg,Knife,696,615.5219999999998,320.142,151.904,74.825,0,1,0,0,0,22767.595019999986
610,P00024.jpg,Knife,586,515.263,361.131,385.93300000000005,85.527,0,1,0,0,0,46302.17759200003
610,P00024.jpg,Knife,586,409.53,165.301,271.425,65.736,0,1,0,0,0,50235.218781
401,P00028.jpg,Knife,684,514.521,220.757,262.997,97.114,0,1,0,0,0,48730.453612
401,P00028.jpg,Knife,684,460.635,117.332,331.301,205.844,0,1,0,0,0,43069.764470999995
561,P00066.jpg,Knife,813,759.2819999999998,660.1110000000001,479.093,117.01,0,1,0,0,0,35908.1331929999
577,P00073.jpg,Knife,843,137.108,27.85,400.49,152.44,0,1,0,0,0,27101.446900000003
580,P00078.jpg,Knife,836,194.394,47.802,473.812,249.34,0,1,0,0,0,32905.799424000004
487,P00120.jpg,Gun,679,599.625,483.151,295.699,120.762,1,0,0,0,0,20375.612138
487,P00120.jpg,Gun,679,652.254,468.484,344.2290000000001,239.268,1,0,0,0,0,19288.682970000023
487,P00120.jpg,Knife,679,633.273,227.771,450.32,378.652,0,1,0,0,0,29061.517336000008
565,P00124.jpg,Knife,837,358.41,51.05,493.638,465.487,0,1,0,0,0,8652.491359999985
565,P00124.jpg,Knife,837,395.634,78.70100000000002,462.86800000000005,437.335,0,1,0,0,0,8092.250289000022
565,P00124.jpg,Knife,837,450.9380000000001,47.859,448.465,377.103,0,1,0,0,0,28764.523597999996
565,P00124.jpg,Gun,837,247.803,151.02200000000005,290.029,189.861,1,0,0,0,0,9694.359207999996
565,P00124.jpg,Gun,837,105.29,59.558,318.835,199.027,1,0,0,0,0,5479.059456000001
599,P00151.jpg,Knife,870,458.767,48.64,314.423,210.30900000000003,0,1,0,0,0,42699.962477999994
599,P00151.jpg,Knife,870,355.959,44.219,278.33,208.921,0,1,0,0,0,21637.56166
599,P00151.jpg,Knife,870,431.131,120.496,245.014,202.674,0,1,0,0,0,13152.2859
599,P00151.jpg,Gun,870,235.46400000000003,140.394,501.827,392.161,1,0,0,0,0,10425.946620000002
599,P00151.jpg,Gun,870,110.546,76.277,487.251,373.421,1,0,0,0,0,3900.84027
448,P00161.jpg,Knife,649,427.994,33.811,420.487,348.848,0,1,0,0,0,28238.875937000008
448,P00161.jpg,Gun,649,220.182,9.071,290.707,166.637,1,0,0,0,0,26192.541769999996
448,P00161.jpg,Gun,649,139.366,43.706,308.357,137.567,1,0,0,0,0,16337.771400000003
604,P00174.jpg,Gun,854,788.8919999999998,758.508,485.72,375.838,1,0,0,0,0,3338.654687999977
604,P00174.jpg,Gun,854,742.2310000000001,651.08,488.519,394.035,1,0,0,0,0,8612.311084000004
604,P00174.jpg,Knife,854,735.72,425.372,276.454,148.375,0,1,0,0,0,39749.061492
604,P00174.jpg,Knife,854,827.957,552.3330000000002,396.834,242.86,0,1,0,0,0,42438.92977599997
604,P00174.jpg,Knife,854,832.297,413.436,459.124,244.959,0,1,0,0,0,89705.36606500002
461,P00178.jpg,Gun,705,627.065,456.861,272.433,190.169,1,0,0,0,0,14001.661856000002
461,P00178.jpg,Gun,705,580.4830000000002,430.883,210.468,95.619,1,0,0,0,0,17181.41040000002
461,P00178.jpg,Knife,705,662.8969999999998,496.277,217.413,65.17,0,1,0,0,0,25366.728659999975
473,P00209.jpg,Knife,805,539.053,139.111,236.226,147.984,0,1,0,0,0,35291.681963999996
500,P00213.jpg,Knife,798,613.456,232.201,499.421,315.759,0,1,0,0,0,70022.05580999999
598,P00225.jpg,Gun,888,229.052,127.502,421.302,308.355,1,0,0,0,0,11469.76785
598,P00225.jpg,Gun,888,124.117,77.855,433.775,316.67,1,0,0,0,0,5417.511509999998
598,P00225.jpg,Knife,888,432.152,143.299,251.534,162.839,0,1,0,0,0,25619.816834999994
598,P00225.jpg,Knife,888,366.709,88.01,313.898,155.91,0,1,0,0,0,44031.09761200001
598,P00225.jpg,Knife,888,460.361,75.598,412.987,129.578,0,1,0,0,0,109045.29706699999
490,P00234.jpg,Knife,800,455.4,56.925,255.504,106.176,0,1,0,0,0,59503.47479999998
597,P00246.jpg,Knife,849,473.584,140.241,381.167,159.8,0,1,0,0,0,73791.13988099998
589,P00248.jpg,Knife,847,442.334,110.853,386.297,154.928,0,1,0,0,0,76694.42748900001
483,P00264.jpg,Knife,810,724.574,354.05300000000005,430.95,217.154,0,1,0,0,0,79215.90771599997
499,P00276.jpg,Knife,792,631.99,233.474,363.698,241.694,0,1,0,0,0,48620.546064
542,P00278.jpg,Knife,825,515.756,100.635,457.214,289.527,0,1,0,0,0,69610.395127
478,P00289.jpg,Knife,804,713.078,302.394,203.829,114.1,0,1,0,0,0,36850.264636
480,P00306.jpg,Knife,802,403.548,2.0380000000000003,467.764,372.097,0,1,0,0,0,38411.25717000001
573,P00309.jpg,Knife,848,814.597,515.05,361.196,268.905,0,1,0,0,0,27645.49217700002
573,P00309.jpg,Knife,848,822.14,397.601,424.272,225.083,0,1,0,0,0,84563.49887099999
573,P00309.jpg,Knife,848,780.117,474.104,235.043,160.015,0,1,0,0,0,22959.543364000005
573,P00309.jpg,Gun,848,727.319,623.878,466.766,367.171,1,0,0,0,0,10302.206394999994
573,P00309.jpg,Gun,848,773.6519999999998,735.939,478.717,367.171,1,0,0,0,0,4206.734297999983
457,P00311.jpg,Knife,796,410.643,9.103,439.525,338.911,0,1,0,0,0,40400.545559999984
475,P00317.jpg,Knife,798,780.762,381.255,179.43200000000004,99.623,0,1,0,0,0,31884.254163000012
575,P00325.jpg,Knife,870,418.971,113.863,244.525,146.582,0,1,0,0,0,29883.192844000005
575,P00325.jpg,Knife,870,352.6430000000001,63.011,306.4890000000001,146.582,0,1,0,0,0,46314.18422400004
575,P00325.jpg,Knife,870,458.767,51.957,392.439,121.929,0,1,0,0,0,110046.1731
575,P00325.jpg,Gun,870,215.565,122.706,409.096,301.825,1,0,0,0,0,9961.077789
575,P00325.jpg,Gun,870,112.757,68.539,438.413,319.148,1,0,0,0,0,5273.65977
437,P00328.jpg,Knife,807,406.064,2.051,394.971,315.47,0,1,0,0,0,32119.437512999993
